company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_departure_datetime_local,scheduled_ground_time_minutes,minimum_turn_minutes,ground_time_deficit,total_seats,total_pax_flight,passenger_load_pct,checked_bags,transfer_bags,transfer_to_checked_ratio,hot_transfer_bags,ssr_count,departure_delay_minutes,difficulty_score,daily_rank,daily_pct_rank,difficulty_class
UA,307,2025-08-14,ORD,2025-08-14 09:15:00+00:00,94,56,38,179,147,0.8212290502793296,0,6,0.0,6,2.0,-4.0,83.61934217461356,327.0,0.5839285714285715,Medium
UA,1538,2025-08-08,ORD,2025-08-08 11:05:00+00:00,100,43,57,126,188,1.492063492063492,0,0,0.0,0,3.0,-6.0,81.88088367271862,359.0,0.64568345323741,Medium
UA,1006,2025-08-02,ORD,2025-08-02 18:00:00+00:00,63,51,12,166,199,1.1987951807228916,0,4,0.0,4,7.0,60.0,80.57268875798464,376.0,0.7230769230769231,Medium
G7,4395,2025-08-14,ORD,2025-08-14 18:15:00+00:00,132,29,103,50,51,1.02,0,3,0.0,3,2.0,86.0,89.16008957209601,180.0,0.32142857142857145,Medium
UA,1538,2025-08-06,ORD,2025-08-06 11:05:00+00:00,95,43,52,126,116,0.9206349206349206,0,0,0.0,0,5.0,-8.0,81.66456837334076,342.0,0.6812749003984063,Medium
UA,2138,2025-08-08,ORD,2025-08-08 14:05:00+00:00,62,51,11,166,167,1.0060240963855422,0,21,0.0,21,0.0,-4.0,76.20140847761428,452.0,0.8129496402877698,Easy
G7,4481,2025-08-15,ORD,2025-08-15 07:00:00+00:00,644,29,615,50,41,0.82,0,9,0.0,9,0.0,-4.0,47.482244759813774,552.0,0.9928057553956835,Easy
OO,5108,2025-08-14,ORD,2025-08-14 16:45:00+00:00,85,29,56,50,47,0.94,0,3,0.0,3,1.0,-6.0,86.2547150907506,262.0,0.46785714285714286,Medium
YX,3568,2025-08-15,ORD,2025-08-15 10:50:00+00:00,75,42,33,76,83,1.0921052631578947,0,4,0.0,4,1.0,-2.0,81.64795054236038,369.0,0.6636690647482014,Medium
OO,4739,2025-08-03,ORD,2025-08-03 15:35:00+00:00,69,29,40,50,61,1.22,0,9,0.0,9,1.0,-1.0,84.10495956897712,317.0,0.5784671532846716,Medium
UA,664,2025-08-02,ORD,2025-08-02 16:00:00+00:00,400,51,349,166,198,1.1927710843373494,0,0,0.0,0,6.0,1.0,77.06447075589769,427.0,0.8211538461538461,Easy
OO,5517,2025-08-04,ORD,2025-08-04 18:15:00+00:00,87,34,53,76,78,1.0263157894736843,0,1,0.0,1,1.0,-1.0,77.61188956500214,466.0,0.8247787610619469,Easy
UA,1156,2025-08-08,ORD,2025-08-08 19:55:00+00:00,62,56,6,179,215,1.2011173184357542,0,7,0.0,7,2.0,19.0,87.31321244120706,232.0,0.4172661870503597,Medium
G7,4387,2025-08-06,ORD,2025-08-06 09:20:00+00:00,75,29,46,50,67,1.34,0,0,0.0,0,0.0,-15.0,91.6778508582035,123.0,0.2450199203187251,Medium
UA,1361,2025-08-11,ORD,2025-08-11 21:20:00+00:00,60,43,17,126,137,1.0873015873015872,0,23,0.0,23,2.0,20.0,61.425836183336045,557.0,0.9771929824561404,Easy
UA,2323,2025-08-03,ORD,2025-08-03 09:15:00+00:00,97,62,35,200,297,1.485,0,0,0.0,0,3.0,-6.0,76.30586959242484,452.0,0.8248175182481752,Easy
OO,5229,2025-08-13,ORD,2025-08-13 11:59:00+00:00,47,34,13,76,62,0.8157894736842105,0,1,0.0,1,0.0,-5.0,85.87792338266792,262.0,0.4952741020793951,Medium
YX,3700,2025-08-02,ORD,2025-08-02 07:25:00+00:00,5,34,-29,76,80,1.0526315789473684,0,3,0.0,3,1.0,15.0,86.62210247068926,256.0,0.49230769230769234,Medium
G7,4610,2025-08-15,ORD,2025-08-15 12:41:00+00:00,59,29,30,50,52,1.04,0,6,0.0,6,0.0,-3.0,82.21204713713085,350.0,0.6294964028776978,Medium
UA,1414,2025-08-13,ORD,2025-08-13 08:45:00+00:00,59,46,13,150,158,1.0533333333333332,0,22,0.0,22,5.0,-5.0,80.90609593986714,373.0,0.7051039697542533,Medium
UA,1156,2025-08-13,ORD,2025-08-13 19:55:00+00:00,73,56,17,179,72,0.4022346368715084,0,6,0.0,6,1.0,1.0,84.08307192276789,306.0,0.5784499054820416,Medium
UA,247,2025-08-13,ORD,2025-08-13 12:45:00+00:00,69,46,23,150,114,0.76,0,17,0.0,17,1.0,-7.0,79.27692063603988,405.0,0.7655954631379962,Medium
UA,2378,2025-08-08,ORD,2025-08-08 21:42:00+00:00,77,62,15,200,238,1.19,0,0,0.0,0,4.0,8.0,82.27210110796705,351.0,0.6312949640287769,Medium
OO,5930,2025-08-14,ORD,2025-08-14 13:20:00+00:00,205,29,176,50,53,1.06,0,1,0.0,1,6.0,100.0,76.87727616746044,449.0,0.8017857142857143,Easy
YX,3628,2025-08-11,ORD,2025-08-11 17:50:00+00:00,45,34,11,76,76,1.0,0,14,0.0,14,2.0,-5.0,85.83102202720858,294.0,0.5157894736842106,Medium
OO,5564,2025-08-01,ORD,2025-08-01 14:20:00+00:00,57,29,28,50,55,1.1,0,2,0.0,2,0.0,9.0,83.17273776792196,350.0,0.6238859180035651,Medium
UA,2361,2025-08-13,ORD,2025-08-13 07:10:00+00:00,662,66,596,234,143,0.6111111111111112,0,17,0.0,17,0.0,-3.0,79.19614585497527,407.0,0.7693761814744802,Medium
YX,3520,2025-08-05,ORD,2025-08-05 21:16:00+00:00,162,34,128,76,71,0.9342105263157895,0,16,0.0,16,1.0,0.0,77.11912878273162,444.0,0.8425047438330171,Easy
G7,4546,2025-08-06,ORD,2025-08-06 18:35:00+00:00,-5,29,-34,50,46,0.92,0,0,0.0,0,2.0,39.0,60.89560735799145,497.0,0.9900398406374502,Easy
OO,5362,2025-08-14,ORD,2025-08-14 21:40:00+00:00,90,29,61,50,60,1.2,0,0,0.0,0,3.0,-5.0,86.61417227765655,257.0,0.4589285714285714,Medium
OO,5251,2025-08-03,ORD,2025-08-03 19:35:00+00:00,68,34,34,70,73,1.042857142857143,0,13,0.0,13,3.0,8.0,83.02010681521209,339.0,0.6186131386861314,Medium
G7,4429,2025-08-07,ORD,2025-08-07 15:52:00+00:00,57,29,28,50,50,1.0,0,3,0.0,3,2.0,-1.0,85.47040887757922,276.0,0.4981949458483754,Medium
UA,1899,2025-08-01,ORD,2025-08-01 20:05:00+00:00,70,52,18,126,178,1.4126984126984128,0,2,0.0,2,7.0,74.0,89.57028074579986,170.0,0.30303030303030304,Medium
UA,2137,2025-08-03,ORD,2025-08-03 09:02:00+00:00,68,51,17,166,180,1.0843373493975903,0,12,0.0,12,2.0,-2.0,81.13683190391505,385.0,0.7025547445255474,Medium
UA,1576,2025-08-10,ORD,2025-08-10 20:00:00+00:00,80,51,29,166,170,1.0240963855421688,0,0,0.0,0,2.0,0.0,90.60099683812398,147.0,0.2639138240574506,Medium
UA,2004,2025-08-11,ORD,2025-08-11 13:45:00+00:00,84,46,38,150,171,1.14,0,18,0.0,18,7.0,8.0,75.68197145098435,496.0,0.8701754385964913,Easy
UA,343,2025-08-02,ORD,2025-08-02 10:53:00+00:00,1079,62,1017,200,274,1.37,0,0,0.0,0,2.0,-1.0,88.03945331183375,214.0,0.4115384615384615,Medium
UA,2370,2025-08-11,ORD,2025-08-11 14:28:00+00:00,79,56,23,179,201,1.1229050279329609,0,1,0.0,1,5.0,0.0,65.4300367673168,552.0,0.968421052631579,Easy
UA,2189,2025-08-01,ORD,2025-08-01 13:00:00+00:00,96,60,36,166,186,1.1204819277108433,0,2,0.0,2,1.0,-4.0,77.22766002246698,455.0,0.8110516934046346,Easy
UA,481,2025-08-12,ORD,2025-08-12 19:52:00+00:00,95,43,52,126,77,0.6111111111111112,0,1,0.0,1,3.0,129.0,91.60490989577727,102.0,0.2156448202959831,Medium
UA,1209,2025-08-15,ORD,2025-08-15 21:25:00+00:00,67,56,11,179,218,1.217877094972067,0,19,0.0,19,4.0,5.0,89.88409805571955,171.0,0.30755395683453235,Medium
UA,2177,2025-08-15,ORD,2025-08-15 14:00:00+00:00,9,43,-34,126,138,1.0952380952380953,0,21,0.0,21,2.0,30.0,85.04011730921899,282.0,0.5071942446043165,Medium
UA,909,2025-08-13,ORD,2025-08-13 18:15:00+00:00,280,95,185,243,262,1.0781893004115226,0,0,0.0,0,9.0,34.0,98.08089382120602,2.0,0.003780718336483932,Difficult
UA,1584,2025-08-05,ORD,2025-08-05 10:50:00+00:00,711,62,649,200,265,1.325,0,0,0.0,0,1.0,0.0,69.11888928327551,497.0,0.9430740037950665,Easy
YX,3690,2025-08-13,ORD,2025-08-13 15:40:00+00:00,57,34,23,76,68,0.8947368421052632,0,5,0.0,5,0.0,-9.0,88.51196846985945,185.0,0.3497164461247637,Medium
YX,3542,2025-08-15,ORD,2025-08-15 17:58:00+00:00,53,42,11,76,83,1.0921052631578947,0,2,0.0,2,2.0,-5.0,83.80177557723786,319.0,0.5737410071942446,Medium
OO,4791,2025-08-14,ORD,2025-08-14 10:35:00+00:00,56,29,27,50,59,1.18,0,13,0.0,13,2.0,-8.0,71.50320708533468,498.0,0.8892857142857142,Easy
UA,2011,2025-08-11,ORD,2025-08-11 08:48:00+00:00,67,60,7,150,162,1.08,0,16,0.0,16,1.0,12.0,70.79034207324626,538.0,0.9438596491228071,Easy
UA,1946,2025-08-15,ORD,2025-08-15 15:00:00+00:00,105,51,54,166,196,1.180722891566265,0,1,0.0,1,6.0,-1.0,81.23728076376446,378.0,0.6798561151079137,Medium
OO,5292,2025-08-02,ORD,2025-08-02 08:45:00+00:00,756,42,714,76,87,1.144736842105263,0,4,0.0,4,2.0,-4.0,78.81264700850146,401.0,0.7711538461538462,Medium
UA,845,2025-08-12,ORD,2025-08-12 21:20:00+00:00,300,155,145,318,260,0.8176100628930818,0,28,0.0,28,12.0,115.0,87.47874870205005,211.0,0.44608879492600423,Medium
YX,3525,2025-08-13,ORD,2025-08-13 16:43:00+00:00,58,42,16,76,90,1.1842105263157894,0,4,0.0,4,1.0,-2.0,79.98356787954137,389.0,0.7353497164461248,Medium
UA,2677,2025-08-06,ORD,2025-08-06 17:56:00+00:00,231,122,109,176,160,0.9090909090909091,0,7,0.0,7,1.0,194.0,73.66030065939513,451.0,0.898406374501992,Easy
UA,767,2025-08-13,ORD,2025-08-13 21:32:00+00:00,22,62,-40,200,202,1.01,0,0,0.0,0,1.0,38.0,77.42384434289497,430.0,0.8128544423440454,Easy
OO,5026,2025-08-13,ORD,2025-08-13 21:05:00+00:00,40,29,11,50,53,1.06,0,12,0.0,12,3.0,13.0,85.1742277689125,280.0,0.5293005671077504,Medium
OO,5493,2025-08-05,ORD,2025-08-05 11:05:00+00:00,106,29,77,50,53,1.06,0,1,0.0,1,0.0,-4.0,87.95501794980926,224.0,0.4250474383301708,Medium
G7,4519,2025-08-06,ORD,2025-08-06 18:20:00+00:00,70,29,41,50,43,0.86,0,0,0.0,0,0.0,-12.0,88.15078480175734,213.0,0.4243027888446215,Medium
OO,4791,2025-08-04,ORD,2025-08-04 10:35:00+00:00,56,29,27,50,45,0.9,0,10,0.0,10,0.0,-5.0,54.5754142987611,558.0,0.9876106194690265,Easy
UA,592,2025-08-03,ORD,2025-08-03 16:50:00+00:00,57,43,14,126,161,1.2777777777777777,0,7,0.0,7,1.0,9.0,81.41015595611594,378.0,0.6897810218978102,Medium
G7,4590,2025-08-01,ORD,2025-08-01 16:45:00+00:00,42,29,13,50,55,1.1,0,3,0.0,3,1.0,-9.0,77.25297794189623,451.0,0.803921568627451,Easy
YX,3464,2025-08-13,ORD,2025-08-13 21:15:00+00:00,142,39,103,76,76,1.0,0,10,0.0,10,0.0,15.0,78.17856465174488,418.0,0.7901701323251418,Medium
OO,5963,2025-08-14,ORD,2025-08-14 14:09:00+00:00,59,34,25,70,74,1.0571428571428572,0,4,0.0,4,5.0,13.0,84.297749989594,311.0,0.5553571428571429,Medium
OO,5447,2025-08-10,ORD,2025-08-10 11:05:00+00:00,71,34,37,70,67,0.9571428571428572,0,0,0.0,0,0.0,-6.0,76.31371804808522,466.0,0.8366247755834829,Easy
UA,1495,2025-08-05,ORD,2025-08-05 19:52:00+00:00,57,46,11,150,74,0.49333333333333335,0,7,0.0,7,0.0,6.0,84.79365241222926,312.0,0.5920303605313093,Medium
UA,2100,2025-08-08,ORD,2025-08-08 13:11:00+00:00,68,51,17,166,191,1.1506024096385543,0,6,0.0,6,2.0,0.0,72.35115934681538,481.0,0.8651079136690647,Easy
UA,2640,2025-08-05,ORD,2025-08-05 15:00:00+00:00,119,51,68,126,59,0.46825396825396826,0,0,0.0,0,2.0,-1.0,89.82407590264057,175.0,0.33206831119544594,Medium
UA,224,2025-08-01,ORD,2025-08-01 09:04:00+00:00,206,60,146,166,196,1.180722891566265,0,10,0.0,10,3.0,6.0,78.37787650160412,437.0,0.7789661319073083,Medium
OO,5392,2025-08-15,ORD,2025-08-15 19:36:00+00:00,165,39,126,76,70,0.9210526315789473,0,11,0.0,11,0.0,4.0,84.48372840260554,301.0,0.5413669064748201,Medium
OO,5984,2025-08-05,ORD,2025-08-05 09:20:00+00:00,78,34,44,76,100,1.3157894736842106,0,0,0.0,0,3.0,10.0,86.03089967566281,285.0,0.540796963946869,Medium
OO,5737,2025-08-13,ORD,2025-08-13 21:12:00+00:00,47,34,13,76,50,0.6578947368421053,0,3,0.0,3,1.0,7.0,77.94430280706767,423.0,0.7996219281663516,Medium
G7,4552,2025-08-03,ORD,2025-08-03 21:30:00+00:00,74,29,45,50,44,0.88,0,0,0.0,0,1.0,-7.0,82.9381238806869,342.0,0.6240875912408759,Medium
G7,4476,2025-08-07,ORD,2025-08-07 13:55:00+00:00,110,29,81,50,55,1.1,0,2,0.0,2,4.0,65.0,84.66707855242643,292.0,0.5270758122743683,Medium
G7,4482,2025-08-02,ORD,2025-08-02 15:35:00+00:00,40,29,11,50,52,1.04,0,4,0.0,4,0.0,-1.0,73.62529561985906,463.0,0.8903846153846153,Easy
OO,5557,2025-08-12,ORD,2025-08-12 09:15:00+00:00,73,34,39,76,81,1.0657894736842106,0,3,0.0,3,1.0,16.0,84.87902367101916,268.0,0.5665961945031712,Medium
UA,2683,2025-08-11,ORD,2025-08-11 14:06:00+00:00,95,51,44,166,188,1.1325301204819278,0,5,0.0,5,4.0,-4.0,83.368247823637,357.0,0.6263157894736842,Medium
OO,5557,2025-08-13,ORD,2025-08-13 09:15:00+00:00,73,34,39,76,86,1.131578947368421,0,7,0.0,7,0.0,-3.0,76.48691838637728,442.0,0.8355387523629489,Easy
YX,3716,2025-08-13,ORD,2025-08-13 18:20:00+00:00,47,34,13,76,84,1.105263157894737,0,0,0.0,0,0.0,7.0,85.0102729693492,288.0,0.5444234404536862,Medium
UA,1616,2025-08-04,ORD,2025-08-04 18:20:00+00:00,88,56,32,179,161,0.8994413407821229,0,0,0.0,0,5.0,1.0,80.17352243133558,422.0,0.7469026548672566,Medium
YX,3440,2025-08-15,ORD,2025-08-15 07:04:00+00:00,539,42,497,76,72,0.9473684210526315,0,3,0.0,3,2.0,-5.0,76.07299232639865,473.0,0.8507194244604317,Easy
OO,5836,2025-08-10,ORD,2025-08-10 10:35:00+00:00,45,29,16,50,53,1.06,0,2,0.0,2,0.0,91.0,81.1799702288421,399.0,0.7163375224416517,Medium
OO,5493,2025-08-06,ORD,2025-08-06 11:05:00+00:00,104,29,75,50,54,1.08,0,0,0.0,0,0.0,-7.0,88.23440914570874,211.0,0.4203187250996016,Medium
UA,1775,2025-08-10,ORD,2025-08-10 10:45:00+00:00,75,56,19,179,246,1.3743016759776536,0,3,0.0,3,3.0,-1.0,76.95185040179867,457.0,0.8204667863554758,Easy
UA,2653,2025-08-05,ORD,2025-08-05 10:52:00+00:00,69,56,13,179,187,1.0446927374301676,0,3,0.0,3,3.0,-6.0,80.14620339963521,397.0,0.7533206831119544,Medium
G7,4552,2025-08-15,ORD,2025-08-15 21:30:00+00:00,79,29,50,50,41,0.82,0,0,0.0,0,0.0,5.0,79.8807813734329,404.0,0.7266187050359713,Medium
UA,1599,2025-08-11,ORD,2025-08-11 08:45:00+00:00,186,93,93,364,432,1.1868131868131868,0,19,0.0,19,5.0,-1.0,82.66375032912322,378.0,0.6631578947368421,Medium
UA,2666,2025-08-07,ORD,2025-08-07 05:00:00+00:00,470,62,408,200,236,1.18,0,0,0.0,0,3.0,-4.0,85.27425837615584,282.0,0.5090252707581228,Medium
YX,3536,2025-08-11,ORD,2025-08-11 07:15:00+00:00,735,42,693,76,67,0.881578947368421,0,1,0.0,1,2.0,-5.0,81.32822289788216,404.0,0.7087719298245614,Medium
YX,3409,2025-08-07,ORD,2025-08-07 13:56:00+00:00,50,42,8,76,83,1.0921052631578947,0,7,0.0,7,1.0,-3.0,87.20412537868984,237.0,0.427797833935018,Medium
G7,4590,2025-08-14,ORD,2025-08-14 16:45:00+00:00,-20,29,-49,50,60,1.2,0,13,0.0,13,2.0,66.0,88.6619737680597,200.0,0.35714285714285715,Medium
UA,763,2025-08-01,ORD,2025-08-01 10:58:00+00:00,79,51,28,166,232,1.3975903614457832,0,3,0.0,3,5.0,-3.0,87.92063871204384,214.0,0.38146167557932265,Medium
UA,2195,2025-08-08,ORD,2025-08-08 11:06:00+00:00,63,51,12,166,156,0.9397590361445783,0,4,0.0,4,0.0,-5.0,82.02222273577267,355.0,0.6384892086330936,Medium
UA,1989,2025-08-12,ORD,2025-08-12 18:20:00+00:00,70,56,14,179,172,0.9608938547486033,0,0,0.0,0,0.0,132.0,76.73554643469247,389.0,0.8224101479915433,Easy
OO,5930,2025-08-10,ORD,2025-08-10 13:20:00+00:00,107,29,78,50,49,0.98,0,2,0.0,2,0.0,5.0,0.0,557.0,1.0,Easy
UA,1793,2025-08-12,ORD,2025-08-12 08:50:00+00:00,78,46,32,150,134,0.8933333333333333,0,3,0.0,3,0.0,39.0,86.56759793695144,235.0,0.49682875264270615,Medium
UA,2677,2025-08-05,ORD,2025-08-05 17:56:00+00:00,246,122,124,176,204,1.1590909090909092,0,41,0.0,41,2.0,-4.0,80.74482845373893,393.0,0.74573055028463,Medium
OO,5521,2025-08-01,ORD,2025-08-01 15:35:00+00:00,-28,29,-57,50,47,0.94,0,10,0.0,10,1.0,61.0,86.20887491500005,267.0,0.47593582887700536,Medium
UA,2487,2025-08-15,ORD,2025-08-15 21:23:00+00:00,3,56,-53,179,99,0.553072625698324,0,6,0.0,6,2.0,69.0,83.44888126538943,329.0,0.591726618705036,Medium
YX,3614,2025-08-09,ORD,2025-08-09 21:25:00+00:00,95,34,61,76,99,1.3026315789473684,0,1,0.0,1,0.0,8.0,79.4280309650235,388.0,0.744721689059501,Medium
YX,3708,2025-08-15,ORD,2025-08-15 12:45:00+00:00,40,34,6,70,70,1.0,0,10,0.0,10,3.0,-4.0,84.22793491361305,310.0,0.5575539568345323,Medium
UA,1657,2025-08-08,ORD,2025-08-08 07:00:00+00:00,835,51,784,166,190,1.144578313253012,0,10,0.0,10,1.0,-5.0,90.83988620813288,129.0,0.23201438848920863,Medium
OO,5915,2025-08-10,ORD,2025-08-10 16:50:00+00:00,43,29,14,50,56,1.12,0,2,0.0,2,1.0,64.0,77.61839595683647,448.0,0.8043087971274686,Easy
OO,5790,2025-08-01,ORD,2025-08-01 18:20:00+00:00,-7,29,-36,50,54,1.08,0,1,0.0,1,2.0,54.0,77.24092650527454,452.0,0.8057040998217468,Easy
UA,2427,2025-08-12,ORD,2025-08-12 18:10:00+00:00,79,43,36,126,88,0.6984126984126984,0,0,0.0,0,1.0,11.0,75.5866120433532,398.0,0.8414376321353065,Easy
UA,265,2025-08-15,ORD,2025-08-15 17:55:00+00:00,69,52,17,126,109,0.8650793650793651,0,6,0.0,6,2.0,4.0,81.5151277284149,373.0,0.670863309352518,Medium
UA,1996,2025-08-08,ORD,2025-08-08 08:49:00+00:00,204,68,136,200,223,1.115,0,6,0.0,6,7.0,-1.0,83.40364583770192,329.0,0.591726618705036,Medium
OO,5229,2025-08-14,ORD,2025-08-14 11:59:00+00:00,39,34,5,76,76,1.0,0,1,0.0,1,1.0,-6.0,70.18219733079036,509.0,0.9089285714285714,Easy
UA,1361,2025-08-13,ORD,2025-08-13 21:20:00+00:00,69,43,26,126,137,1.0873015873015872,0,4,0.0,4,2.0,7.0,72.80193243846294,471.0,0.8903591682419659,Easy
UA,1030,2025-08-09,ORD,2025-08-09 19:35:00+00:00,78,43,35,126,133,1.0555555555555556,0,6,0.0,6,2.0,39.0,77.82612922257806,410.0,0.7869481765834933,Medium
OO,5020,2025-08-03,ORD,2025-08-03 12:30:00+00:00,60,29,31,50,30,0.6,0,0,0.0,0,0.0,-10.0,82.02513972014478,366.0,0.6678832116788321,Medium
YX,3718,2025-08-10,ORD,2025-08-10 09:02:00+00:00,63,39,24,76,76,1.0,0,1,0.0,1,1.0,-4.0,89.91448558462848,168.0,0.3016157989228007,Medium
OO,5538,2025-08-09,ORD,2025-08-09 18:25:00+00:00,94,29,65,50,20,0.4,0,0,0.0,0,3.0,-10.0,85.40697053494031,263.0,0.5047984644913628,Medium
UA,1778,2025-08-10,ORD,2025-08-10 08:45:00+00:00,62,43,19,126,144,1.1428571428571428,0,31,0.0,31,0.0,11.0,84.05894308579374,349.0,0.6265709156193896,Medium
UA,2137,2025-08-07,ORD,2025-08-07 09:02:00+00:00,957,51,906,166,228,1.3734939759036144,0,4,0.0,4,1.0,-1.0,79.82050749876683,393.0,0.7093862815884476,Medium
UA,2137,2025-08-13,ORD,2025-08-13 09:02:00+00:00,68,51,17,166,163,0.9819277108433735,0,3,0.0,3,3.0,16.0,86.76667320546932,242.0,0.45746691871455575,Medium
UA,2427,2025-08-05,ORD,2025-08-05 18:10:00+00:00,84,43,41,126,107,0.8492063492063492,0,7,0.0,7,1.0,-2.0,80.16817881774614,395.0,0.7495256166982922,Medium
G7,4482,2025-08-11,ORD,2025-08-11 15:35:00+00:00,-36,29,-65,50,41,0.82,0,3,0.0,3,0.0,12.0,85.80188558157205,295.0,0.5175438596491229,Medium
UA,1304,2025-08-05,ORD,2025-08-05 11:29:00+00:00,18,56,-38,179,199,1.111731843575419,0,5,0.0,5,3.0,15.0,81.08968501929064,382.0,0.7248576850094877,Medium
OO,5250,2025-08-15,ORD,2025-08-15 17:50:00+00:00,65,34,31,76,74,0.9736842105263158,0,3,0.0,3,2.0,-1.0,63.39642228687452,542.0,0.9748201438848921,Easy
UA,2666,2025-08-10,ORD,2025-08-10 05:00:00+00:00,515,62,453,200,251,1.255,0,0,0.0,0,2.0,-4.0,47.22261937181899,554.0,0.9946140035906643,Easy
OO,5568,2025-08-02,ORD,2025-08-02 09:07:00+00:00,72,29,43,50,47,0.94,0,0,0.0,0,2.0,-7.0,84.05994891814998,305.0,0.5865384615384616,Medium
OO,5849,2025-08-09,ORD,2025-08-09 13:55:00+00:00,117,34,83,76,88,1.1578947368421053,0,10,0.0,10,3.0,-2.0,70.79725485807431,470.0,0.9021113243761996,Easy
UA,763,2025-08-12,ORD,2025-08-12 10:58:00+00:00,209,51,158,166,218,1.3132530120481927,0,0,0.0,0,4.0,-2.0,85.72781364990871,251.0,0.5306553911205074,Medium
YX,3465,2025-08-05,ORD,2025-08-05 17:55:00+00:00,64,34,30,76,81,1.0657894736842106,0,18,0.0,18,2.0,16.0,85.28209321032412,300.0,0.5692599620493358,Medium
UA,476,2025-08-07,ORD,2025-08-07 10:53:00+00:00,66,46,20,150,135,0.9,0,1,0.0,1,4.0,-2.0,80.23134739764821,383.0,0.6913357400722022,Medium
UA,2254,2025-08-08,ORD,2025-08-08 09:10:00+00:00,535,62,473,200,251,1.255,0,0,0.0,0,4.0,-7.0,74.52733001901267,464.0,0.8345323741007195,Easy
UA,2427,2025-08-15,ORD,2025-08-15 18:10:00+00:00,71,43,28,126,77,0.6111111111111112,0,2,0.0,2,2.0,29.0,81.75665198845279,365.0,0.6564748201438849,Medium
UA,1491,2025-08-03,ORD,2025-08-03 10:35:00+00:00,159,46,113,150,168,1.12,0,9,0.0,9,5.0,0.0,86.02765911879857,293.0,0.5346715328467153,Medium
YX,3628,2025-08-04,ORD,2025-08-04 17:50:00+00:00,59,34,25,76,76,1.0,0,9,0.0,9,0.0,1.0,80.34749891295522,417.0,0.7380530973451327,Medium
UA,2369,2025-08-08,ORD,2025-08-08 08:50:00+00:00,71,51,20,166,188,1.1325301204819278,0,12,0.0,12,2.0,-6.0,75.90061291498222,458.0,0.8237410071942446,Easy
OO,5577,2025-08-11,ORD,2025-08-11 07:00:00+00:00,645,34,611,76,80,1.0526315789473684,0,4,0.0,4,1.0,-1.0,74.36129160735982,512.0,0.8982456140350877,Easy
UA,422,2025-08-03,ORD,2025-08-03 16:15:00+00:00,185,155,30,318,344,1.0817610062893082,0,0,0.0,0,8.0,37.0,86.16893815492342,288.0,0.5255474452554745,Medium
UA,1041,2025-08-05,ORD,2025-08-05 15:35:00+00:00,57,43,14,126,125,0.9920634920634921,0,20,0.0,20,4.0,-5.0,92.67466929537609,88.0,0.16698292220113853,Difficult
UA,1044,2025-08-15,ORD,2025-08-15 09:05:00+00:00,984,66,918,234,272,1.1623931623931625,0,4,0.0,4,4.0,64.0,91.23170822965317,125.0,0.22482014388489208,Medium
UA,944,2025-08-08,ORD,2025-08-08 15:10:00+00:00,185,155,30,318,382,1.20125786163522,0,6,0.0,6,5.0,-4.0,87.73136286613175,223.0,0.4010791366906475,Medium
